,count,mean,std,min,25%,50%,75%,max
NDVI_maskLC08_L1TP_232083_20190609_20190619_01_T1.tif,363.0,0.07504540681838989,0.028299648314714432,0.041408147662878036,0.057371288537979126,0.06659102439880371,0.08265726268291473,0.19711971282958984
NDVI_maskLC08_L1TP_232083_20190524_20190604_01_T1.tif,363.0,0.11064139753580093,0.023326896131038666,0.04493317753076553,0.09252144396305084,0.1074046939611435,0.12602519989013672,0.2364928424358368
NDVI_maskLC08_L1TP_232083_20190508_20190521_01_T1.tif,363.0,0.030316907912492752,0.002559673273935914,0.024043168872594833,0.028697658330202103,0.030072573572397232,0.03206267207860947,0.03951367735862732
NDVI_maskLC08_L1TP_232083_20190422_20190507_01_T1.tif,363.0,0.05711193382740021,0.003295965725556016,0.05058717355132103,0.05452250689268112,0.05667076259851456,0.05964919924736023,0.0667663961648941
NDVI_maskLC08_L1TP_232083_20190406_20190422_01_T1.tif,363.0,0.18158158659934998,0.03182460740208626,0.07699653506278992,0.16392502188682556,0.17981749773025513,0.19581371545791626,0.3086273968219757
NDVI_maskLC08_L1TP_232083_20190321_20190403_01_T1.tif,363.0,0.19546037912368774,0.03165614977478981,0.07353894412517548,0.17765742540359497,0.1945137083530426,0.20892201364040375,0.32830610871315
NDVI_maskLC08_L1TP_232083_20190305_20190309_01_T1.tif,363.0,0.06508378684520721,0.00997485127300024,0.04145676642656326,0.057481758296489716,0.06482270359992981,0.07176437228918076,0.09726796299219131
NDVI_maskLC08_L1TP_232083_20190217_20190222_01_T1.tif,363.0,0.22737468779087067,0.03505373373627663,0.09277637302875519,0.20751318335533142,0.22991330921649933,0.2505107522010803,0.3341418504714966
NDVI_maskLC08_L1TP_232083_20190201_20190206_01_T1.tif,363.0,0.2250148504972458,0.03730093687772751,0.08659905940294266,0.20554128289222717,0.2246934175491333,0.24470803141593933,0.3945954740047455
NDVI_maskLC08_L1TP_232083_20190116_20190131_01_T1.tif,363.0,0.22123800218105316,0.03739700838923454,0.07360243052244186,0.20098787546157837,0.22420567274093628,0.24230176210403442,0.3814568519592285
NDVI_maskLC08_L1TP_232083_20181231_20190130_01_T1.tif,363.0,0.22007061541080475,0.047525517642498016,0.09017691761255264,0.19040150940418243,0.21384680271148682,0.25383418798446655,0.342253178358078
NDVI_maskLC08_L1TP_232083_20181215_20181227_01_T1.tif,363.0,0.2283882349729538,0.04471796751022339,0.09056984633207321,0.20071882009506226,0.23045317828655243,0.25588399171829224,0.3625638782978058
NDVI_maskLC08_L1TP_232083_20181129_20181211_01_T1.tif,363.0,0.206405907869339,0.04132252186536789,0.08207693696022034,0.1834530383348465,0.20774543285369873,0.2285214215517044,0.3610476553440094
NDVI_maskLC08_L1TP_232083_20181113_20181127_01_T1.tif,363.0,0.018229950219392776,0.0007986025302670896,0.01567959226667881,0.017657984048128128,0.018307922407984734,0.018763143569231033,0.020418457686901093
NDVI_maskLC08_L1TP_232083_20181028_20181115_01_T1.tif,363.0,0.15931551158428192,0.025766242295503616,0.07726207375526428,0.1475456953048706,0.15759065747261047,0.16874516010284424,0.33314383029937744
NDVI_maskLC08_L1TP_232083_20181012_20181030_01_T1.tif,363.0,0.15242573618888855,0.03317960724234581,0.07449056953191757,0.13015490770339966,0.14882460236549377,0.1704273670911789,0.32323017716407776
NDVI_maskLC08_L1TP_232083_20180926_20181009_01_T1.tif,363.0,0.10571404546499252,0.031175853684544563,0.03242233768105507,0.08582158386707306,0.1013762503862381,0.12605464458465576,0.21686112880706787
NDVI_maskLC08_L1TP_232083_20180910_20180927_01_T1.tif,363.0,0.12382520735263824,0.027970561757683754,0.06896551698446274,0.10447803139686584,0.1157984584569931,0.13420912623405457,0.23541083931922913
NDVI_maskLC08_L1TP_232083_20180825_20180829_01_T1.tif,363.0,0.11147564649581909,0.021928757429122925,0.063792385160923,0.09630738198757172,0.10654522478580475,0.12496510148048401,0.214632049202919
NDVI_maskLC08_L1TP_232083_20180809_20180815_01_T1.tif,363.0,0.051601625978946686,0.001486887806095183,0.04816114902496338,0.05044659227132797,0.05151888355612755,0.05261354148387909,0.05606633052229881
NDVI_maskLC08_L1TP_232083_20180724_20180731_01_T1.tif,363.0,0.09545119851827621,0.013995897024869919,0.056068215519189835,0.08644601702690125,0.09487330913543701,0.10377627611160278,0.17783766984939575
NDVI_maskLC08_L1TP_232083_20180708_20180717_01_T1.tif,363.0,0.028297405689954758,0.003674040548503399,0.016404584050178528,0.02593790739774704,0.02834276109933853,0.030637530609965324,0.037040743976831436
